2026-02-26 18:33:42 | INFO     | forex_scraper.scrape | [USDINR] Cookies primed. Waiting 3.2s...
2026-02-26 18:33:46 | INFO     | forex_scraper.scrape | [USDINR] Calling historical API...
2026-02-26 18:33:46 | INFO     | forex_scraper.scrape | [USDINR] Status: 200
2026-02-26 18:33:46 | INFO     | forex_scraper.scrape | [USDINR] Parsed 1606 records
2026-02-26 18:33:46 | INFO     | currency_scrape.service | [USDINR] OK 1606 records scraped
2026-02-26 18:33:46 | INFO     | currency_scrape.service | Waiting 5.3s before next pair...
2026-02-26 18:33:51 | INFO     | forex_scraper.scrape | [EURUSD] Priming cookies via main page...
2026-02-26 18:33:52 | INFO     | forex_scraper.scrape | [EURUSD] Cookies primed. Waiting 3.3s...
2026-02-26 18:33:55 | INFO     | forex_scraper.scrape | [EURUSD] Calling historical API...
2026-02-26 18:33:56 | INFO     | forex_scraper.scrape | [EURUSD] Status: 200
2026-02-26 18:33:56 | INFO     | forex_scraper.scrape | [EURUSD] Parsed 1606 records
2026-02-26 18:33:56 | INFO     | currency_scrape.service | [EURUSD] OK 1606 records scraped
2026-02-26 18:33:56 | INFO     | currency_scrape.service | Waiting 5.8s before next pair...
2026-02-26 18:34:02 | ERROR    | currency_scrape.service | Unknown pair key: EUROINR
2026-02-26 18:34:02 | INFO     | forex_scraper.scrape | [USDJPY] Priming cookies via main page...
2026-02-26 18:34:03 | INFO     | forex_scraper.scrape | [USDJPY] Cookies primed. Waiting 3.1s...
2026-02-26 18:34:06 | INFO     | forex_scraper.scrape | [USDJPY] Calling historical API...
2026-02-26 18:34:06 | INFO     | forex_scraper.scrape | [USDJPY] Status: 200
2026-02-26 18:34:06 | INFO     | forex_scraper.scrape | [USDJPY] Parsed 1606 records
2026-02-26 18:34:06 | INFO     | currency_scrape.service | [USDJPY] OK 1606 records scraped
2026-02-26 18:34:06 | INFO     | currency_scrape.service | Waiting 5.2s before next pair...
2026-02-26 18:34:11 | INFO     | forex_scraper.scrape | [GBPINR] Priming cookies via main page...
2026-02-26 18:34:13 | INFO     | forex_scraper.scrape | [GBPINR] Cookies primed. Waiting 3.5s...
2026-02-26 18:34:17 | INFO     | forex_scraper.scrape | [GBPINR] Calling historical API...
2026-02-26 18:34:17 | INFO     | forex_scraper.scrape | [GBPINR] Status: 200
2026-02-26 18:34:18 | INFO     | forex_scraper.scrape | [GBPINR] Parsed 1606 records
2026-02-26 18:34:18 | INFO     | currency_scrape.service | [GBPINR] OK 1606 records scraped
2026-02-26 18:34:18 | INFO     | currency_scrape.service | Waiting 5.7s before next pair...
2026-02-26 18:34:23 | INFO     | forex_scraper.scrape | [GBPUSD] Priming cookies via main page...
2026-02-26 18:34:24 | INFO     | forex_scraper.scrape | [GBPUSD] Cookies primed. Waiting 3.4s...
2026-02-26 18:34:27 | INFO     | forex_scraper.scrape | [GBPUSD] Calling historical API...
2026-02-26 18:34:28 | INFO     | forex_scraper.scrape | [GBPUSD] Status: 200
2026-02-26 18:34:28 | INFO     | forex_scraper.scrape | [GBPUSD] Parsed 1606 records
2026-02-26 18:34:28 | INFO     | currency_scrape.service | [GBPUSD] OK 1606 records scraped
2026-02-26 18:34:28 | INFO     | currency_scrape.service | Waiting 7.2s before next pair...
2026-02-26 18:34:35 | INFO     | forex_scraper.scrape | [JPYINR] Priming cookies via main page...
2026-02-26 18:34:36 | INFO     | forex_scraper.scrape | [JPYINR] Cookies primed. Waiting 3.8s...
2026-02-26 18:34:40 | INFO     | forex_scraper.scrape | [JPYINR] Calling historical API...
2026-02-26 18:34:40 | INFO     | forex_scraper.scrape | [JPYINR] Status: 200
2026-02-26 18:34:41 | INFO     | forex_scraper.scrape | [JPYINR] Parsed 1606 records
2026-02-26 18:34:41 | INFO     | currency_scrape.service | [JPYINR] OK 1606 records scraped
2026-02-26 18:34:41 | INFO     | currency_scrape.service | Data saved to forex_data_20260226_183441.json
2026-02-26 18:34:41 | INFO     | currency_scrape.service | Scrape complete | 6/7 pairs | 9636 records | 59.41s
